"Fila";"2021";"2022"
"CARI";"853";"907"
"CARI::Demanda de pontos novos";"10";"7"
"CARI::Demanda de rede sem fio";"1";"0"
"CARI::Erros de envio";"4";"0"
"CARI::Incidentes de segurança";"159";"121"
"CARI::Notificações Zabbix pendentes";"0";"0"
"CSI";"2143";"1625"
"CSM";"657";"852"
"CSM::Atendimento ao Usuário";"191";"3"
"CSM::Demandas de datashow";"3";"3"
"CSM::Manutenção de Laboratórios";"13";"7"
"CSM::Manutenção de equipamentos";"364";"1000"
"CSM::Manutenção de equipamentos::Laudos Técnicos";"13";"12"
"CSM::Manutenção de equipamentos::Manutenção externa";"1";"0"
"DTI";"972";"1100"
"DTI::Demandas contratuais ou administrativas";"1";"0"
